m2_price,square,rooms,micro_district,district,floor,floors,Day,Month,Year,building_type,Construction_year,condition,price
900,350,6,33,3,8,9,4,2,2023,1,2011,2,315000
1036,28,1,67,3,5,5,4,2,2023,1,2011,2,29000
1250,44,1,4,1,10,13,4,2,2023,2,2011,3,55000
1069,58,3,130,4,1,4,4,2,2023,3,2011,2,62000
1056,80,2,4,1,2,10,4,2,2023,1,2020,2,84500
1288,80,4,10,1,8,10,4,2,2023,2,2015,3,103000
1232,69,3,18,3,1,9,4,2,2023,3,2015,3,85000
1099,81,2,22,5,7,10,4,2,2023,2,2020,3,89000
1050,48,1,83,1,6,12,4,2,2023,2,2022,1,50500
1034,58,2,75,1,5,10,4,2,2023,2,2022,1,60000
991,115,3,120,5,9,10,4,2,2023,2,2022,1,114000
1000,37,2,87,5,5,5,4,2,2023,1,1981,4,37000
1014,141,4,83,1,9,14,4,2,2023,3,2022,1,143000
1000,75,2,34,5,6,9,4,2,2023,2,2022,2,75000
1233,43,2,76,1,3,5,4,2,2023,1,2022,2,53000
882,55,2,53,5,6,8,4,2,2023,1,2022,1,48500
809,111,3,83,1,6,14,4,2,2023,1,2022,1,89500
1212,52,2,4,1,7,9,4,2,2023,3,2022,1,63000
1000,45,1,83,1,6,12,4,2,2023,2,2022,1,45000
1195,80,2,22,5,7,10,4,2,2023,2,2022,2,95000
1306,98,4,88,5,5,9,4,2,2023,1,2016,4,128000
1036,28,1,67,3,5,5,4,2,2023,1,2016,2,29000
803,99,3,49,5,3,14,4,2,2023,2,2016,2,79500
1295,44,2,6,1,1,4,4,2,2023,3,1972,2,57000
899,138,3,87,5,9,9,4,2,2023,1,2016,2,124500
1802,83,2,64,3,7,13,4,2,2023,1,2021,2,149000
1264,36,1,29,1,1,9,4,2,2023,3,1990,2,45000
843,105,2,6,1,3,4,4,2,2023,2,2015,2,88500
1500,33,1,11,1,2,9,4,2,2023,1,1988,2,49500
1152,33,1,91,5,2,9,4,2,2023,3,1980,2,38000
1680,62,2,33,3,10,13,4,2,2023,2,2020,2,105000
1000,51,1,37,4,3,9,4,2,2023,3,1982,2,51000
1061,34,1,47,3,1,5,4,2,2023,1,2019,2,36500
1070,71,2,49,5,5,5,4,2,2023,1,2009,2,76000
1256,43,2,11,1,4,4,4,2,2023,1,1980,2,54000
1351,30,1,36,3,5,5,4,2,2023,1,1980,2,40400
772,79,2,83,1,4,9,4,2,2023,2,2023,2,61000
697,39,1,63,4,4,4,4,2,2023,1,2023,1,27200
807,101,3,75,1,7,9,4,2,2023,3,2023,3,81500
1188,77,2,71,4,3,12,4,2,2023,1,2023,3,91500
1018,44,2,79,3,2,2,4,2,2023,1,2023,2,44800
1161,62,3,4,1,1,5,4,2,2023,3,1989,2,72000
1246,69,3,18,4,1,9,4,2,2023,3,1985,2,86500
1738,61,2,83,1,6,9,4,2,2023,1,2020,2,106000
1091,44,1,50,5,4,9,4,2,2023,1,2016,2,48000
1193,44,2,66,1,1,4,4,2,2023,1,1970,2,52500
1245,47,1,7,1,12,12,4,2,2023,1,2018,2,58500
1000,48,1,69,1,2,12,4,2,2023,2,2021,3,48000
1157,40,2,59,3,4,4,4,2,2023,1,1960,3,46500
1522,43,2,104,3,8,10,4,2,2023,2,2020,3,66000
1360,50,1,88,5,13,15,4,2,2023,2,2020,2,68000
1065,54,2,0,1,5,5,4,2,2023,3,1977,2,57500
1439,94,4,88,5,5,9,4,2,2023,1,2016,2,135000
1108,60,2,89,5,5,5,4,2,2023,1,1989,2,66500
863,56,2,83,1,4,9,4,2,2023,3,2020,2,48000
1016,62,2,4,1,5,10,4,2,2023,2,2021,2,63000
717,75,4,63,4,4,4,4,2,2023,1,1974,2,54000
1585,41,1,83,1,9,12,4,2,2023,2,2022,2,65000
1157,51,1,91,5,6,11,4,2,2023,1,1990,2,59000
1086,52,2,50,5,9,9,4,2,2023,1,1993,2,57000
1450,40,1,90,3,2,9,4,2,2023,1,2017,3,58000
1131,42,1,109,4,1,10,4,2,2023,2,2019,3,47500
